"[2, 1, 1, 1, 1, 1, 1, 1, 1]","(0.2622442904436986, 122238)"
"[2, 1, 1, 1, 1, 0, 1, 1, 1]","(0.47770280658816594, 2717)"
"[2, 1, 1, 1, 1, 0, 2, 1, 1]","(0.4994556164383579, 438)"
"[2, 1, 1, 1, 0, 0, 2, 1, 1]","(0.645997924528304, 265)"
"[2, 1, 1, 1, 0, 0, 2, 2, 1]","(0.24816106194690274, 113)"
"[2, 0, 1, 1, 0, 0, 2, 2, 1]","(0.7292727272727267, 66)"
"[2, 0, 1, 1, 0, 0, 2, 2, 2]","(1.0, 95)"
"[1, 1, 2, 1, 1, 1, 1, 1, 1]","(0.26199072908992455, 122131)"
"[1, 1, 2, 1, 1, 1, 1, 0, 1]","(0.47190559703048274, 2593)"
"[1, 1, 2, 1, 1, 1, 2, 0, 1]","(0.4395829900990096, 404)"
"[1, 1, 2, 1, 1, 1, 2, 0, 0]","(0.5616800000000001, 126)"
"[1, 1, 2, 2, 1, 1, 2, 0, 0]","(0.5339, 81)"
"[1, 1, 2, 2, 1, 0, 2, 0, 0]","(0.8429999999999993, 57)"
"[1, 1, 2, 2, 2, 0, 2, 0, 0]","(1.0, 72)"
"[1, 1, 1, 1, 1, 2, 1, 1, 1]","(0.2502044070332898, 121841)"
"[1, 1, 1, 1, 1, 2, 0, 1, 1]","(0.4071597569414448, 2766)"
"[1, 1, 1, 1, 2, 2, 0, 1, 1]","(0.3283744261207774, 2186)"
"[1, 0, 1, 1, 2, 2, 0, 1, 1]","(0.6599129318181839, 220)"
"[2, 0, 1, 1, 2, 2, 0, 1, 1]","(0.6624967289719633, 107)"
"[2, 0, 1, 0, 2, 2, 0, 1, 1]","(0.7202327586206902, 116)"
"[2, 0, 2, 0, 2, 2, 0, 1, 1]","(0.5670000000000011, 135)"
"[2, 0, 2, 0, 2, 2, 0, 1, 0]","(0.4499999999999996, 346)"
"[2, 0, 2, 0, 2, 2, 0, 2, 0]","(0.5, 16151)"
"[1, 1, 1, 2, 1, 1, 1, 1, 1]","(0.2488500273313904, 122540)"
"[1, 1, 1, 2, 1, 1, 1, 1, 0]","(0.3912046733042943, 2639)"
"[1, 1, 2, 2, 1, 1, 1, 1, 0]","(0.31826996135831304, 427)"
"[1, 1, 2, 2, 1, 0, 1, 1, 0]","(0.5047713422818794, 149)"
"[1, 1, 2, 2, 2, 0, 1, 1, 0]","(0.40509759036144677, 249)"
"[0, 1, 2, 2, 2, 0, 1, 1, 0]","(0.8089480519480511, 77)"
"[0, 2, 2, 2, 2, 0, 1, 1, 0]","(0.8100000000000014, 111)"
"[0, 2, 2, 2, 2, 0, 0, 1, 0]","(0.9000000000000036, 235)"
"[0, 2, 2, 2, 2, 0, 0, 2, 0]","(1.0, 623)"
"[1, 1, 0, 2, 1, 1, 1, 1, 1]","(0.3870357597973093, 2664)"
